"","PlotID","vert_sd","mean_height"
"1","hew11",6.16927072829901,6.14058222315178
"2","hew12",8.87770560614468,10.4642715081531
"3","hew20",8.02496589080798,8.77224416702197
"4","hew21",7.62090354564794,8.84143117859647
"5","hew26",7.10157776304233,7.85487686999184
"6","hew38",6.92537214425987,8.79427613355511
"7","hew40",7.85882242366488,9.30895211542756
"8","hew41",6.38489508407386,7.6291147107868
"9","hew42",7.22640283954543,7.88146797066165
"10","hew47",7.83516059898211,8.46376281708852
"11","hew7",6.95815827315594,9.42066890387784
"12","hew9",5.86572622587888,6.99376053352011
